Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.8858,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.9126,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,0.0047,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,0.0049,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6507,Transformación de alimentos,2018,2018,mil toneladas,270.174,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6507,Transformación de alimentos,2019,2019,mil toneladas,268.229,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6507,Transformación de alimentos,2018,2018,mil toneladas,3.4707,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6507,Transformación de alimentos,2019,2019,mil toneladas,4.0411,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6507,Transformación de alimentos,2018,2018,mil toneladas,0.0057,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6507,Transformación de alimentos,2019,2019,mil toneladas,0.0057,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6815,Transformación de alimentos,2018,2018,mil toneladas,528.154,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6815,Transformación de alimentos,2019,2019,mil toneladas,472.7195,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0879,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6815,Transformación de alimentos,2019,2019,mil toneladas,0.079,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6815,Transformación de alimentos,2018,2018,mil toneladas,0.0106,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6815,Transformación de alimentos,2019,2019,mil toneladas,0.0095,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6508,Venta de alimentos,2018,2018,mil toneladas,189.1252,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6508,Venta de alimentos,2019,2019,mil toneladas,153.6666,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6508,Venta de alimentos,2018,2018,mil toneladas,0.5148,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6508,Venta de alimentos,2019,2019,mil toneladas,0.5479,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6508,Venta de alimentos,2018,2018,mil toneladas,0.003,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6508,Venta de alimentos,2019,2019,mil toneladas,0.003,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0.6998,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0.7011,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,71.8418,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,71.8799,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0.2292,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0.2308,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,435.4648,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,435.4648,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,1.4227,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,1.4227,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,0.0079,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,0.0079,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6506,Envasado alimentario,2018,2018,mil toneladas,12.1802,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6506,Envasado alimentario,2019,2019,mil toneladas,18.7756,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6506,Envasado alimentario,2018,2018,mil toneladas,0.0713,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6506,Envasado alimentario,2019,2019,mil toneladas,0.1805,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6506,Envasado alimentario,2018,2018,mil toneladas,0.0002,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6506,Envasado alimentario,2019,2019,mil toneladas,0.0004,E,Valor estimado
EM,Distribución de emisiones,558,Nicaragua,7273,Emisiones (CO2),6996,Farm-gate emissions,2018,2018,mil toneladas,106.2697,E,Valor estimado
EM,Distribución de emisiones,558,Nicaragua,7273,Emisiones (CO2),6996,Farm-gate emissions,2019,2019,mil toneladas,107.5184,E,Valor estimado
